sim_id,final_pnl,final_Vpi,total_trades
589,186123,916938,29
590,210439,2.21833e+06,30
591,396960,-952679,42
592,174379,-1.61501e+06,27
593,193276,1.71427e+06,25
594,198325,-2.70783e+06,23
595,139800,-5.36489e+06,23
596,205224,-2.4157e+06,39
597,255036,3.03671e+06,36
598,272273,-5.70401e+06,32
599,175425,1.55337e+06,31
600,314755,1.32978e+06,41
601,190365,-2.13147e+06,31
602,133290,-2.88157e+06,23
603,269133,1.00325e+06,32
604,281559,6.28782e+06,32
605,120551,-1.21989e+06,23
606,185417,5.0194e+06,28
607,175106,-1.60974e+06,29
608,210974,1.62779e+06,27
609,159350,631566,35
610,215572,5.43113e+06,34
611,127948,459323,26
612,213790,3.42626e+06,38
613,182084,-917410,29
614,212374,9.13894e+06,35
615,157931,-1.28066e+06,25
616,190428,1.41822e+06,34
617,229789,3.7141e+06,25
618,140536,5.00267e+06,24
619,247236,534179,30
620,184437,-1.90979e+06,35
621,251813,4.27212e+06,30
622,189507,-1.51719e+06,37
623,298468,-135587,36
624,271198,33731.4,32
625,220110,-3.32128e+06,35
626,209392,-2.51075e+06,29
627,363988,-270779,39
628,277511,1.76387e+06,37
629,224625,118428,34
630,170247,-2.35699e+06,29
631,241018,757094,35
632,193633,-3.04791e+06,32
633,243076,4.55065e+06,36
634,259423,1.42801e+06,27
635,180392,1.23645e+06,31
636,101110,2.30987e+06,23
637,187212,2.56579e+06,26
638,150024,-2.61971e+06,29
639,232611,-2.87941e+06,31
640,274537,650348,32
641,172965,3.40297e+06,28
642,227190,-2.2833e+06,33
643,134300,1.82791e+06,28
644,218485,1.25973e+06,34
645,167165,-4.34111e+06,24
646,239592,7.98975e+06,30
647,321149,6.94212e+06,35
648,135357,-1.55128e+06,21
649,146936,314983,25
650,175934,-1.18729e+06,31
651,200761,-3.5883e+06,27
652,191953,-529912,32
653,203968,-1.59033e+06,32
654,193000,6.47345e+06,31
655,249635,-1.05988e+06,38
656,143259,1.10975e+06,31
657,105999,-1.80614e+06,24
658,169265,-614084,31
659,165154,-2.08242e+06,28
660,191880,-1.66752e+06,26
661,209892,3.10844e+06,29
662,139451,-171273,22
663,71289.7,250935,18
664,217403,2.70532e+06,35
665,156515,-1.47458e+06,26
666,189270,-2.58695e+06,31
667,200331,-6.13219e+06,34
668,212026,992236,36
669,163886,-6.48303e+06,29
670,204230,-4.87347e+06,23
671,149361,-1.82594e+06,29
672,153824,2.8511e+06,27
673,227882,-740261,31
674,308748,4.26779e+06,43
675,209663,-1.59924e+06,26
676,162629,3.37697e+06,34
677,196496,-586023,28
678,182707,-1.31578e+06,34
679,127038,982416,27
680,107039,299001,23
681,301390,-2.57833e+06,46
682,258962,-797062,33
683,126139,1.24409e+06,26
684,275056,-3.71565e+06,41
685,235506,-4.09234e+06,32
686,143372,447953,26
687,257425,2.06189e+06,37
688,310510,1.77616e+06,40
689,178593,-3.0097e+06,20
690,193931,1.34588e+06,38
691,222686,3.93077e+06,28
692,129951,-2.59997e+06,30
693,203396,-5.52131e+06,28
694,168706,1.25277e+06,28
695,117544,-1.82696e+06,20
696,181801,-7.90637e+06,25
697,144253,-3.7998e+06,26
698,192630,-1.07618e+06,29
699,189793,61772.5,39
700,194183,-485711,32
701,290838,-7.25791e+06,34
702,223057,479211,33
703,155356,911852,29
704,142466,162347,25
705,128307,-4.45095e+06,26
706,164211,1.04763e+06,24
707,117776,1.01979e+06,26
708,168976,1.19166e+06,26
709,186187,1.11917e+06,32
710,200000,7.35615e+06,25
711,202253,-1.59479e+06,32
712,151514,-2.11216e+06,28
713,179436,1.10917e+06,27
