nu,Vpi,v
0.0199862,-6.92308e+06,120845
0.0199862,-6.41026e+06,128316
0.0199862,-5.89744e+06,135221
0.0199862,-5.38462e+06,141537
0.0199862,-4.87179e+06,147285
0.0199862,-4.35897e+06,152422
0.0199862,-3.84615e+06,157091
0.0199862,-3.33333e+06,161155
0.0199862,-2.82051e+06,164607
0.0199862,-2.30769e+06,167458
0.0199862,-1.79487e+06,169743
0.0199862,-1.28205e+06,171479
0.0199862,-769231,172623
0.0199862,-256410,173178
0.0199862,256410,173192
0.0199862,769231,172661
0.0199862,1.28205e+06,171544
0.0199862,1.79487e+06,169834
0.0199862,2.30769e+06,167573
0.0199862,2.82051e+06,164749
0.0199862,3.33333e+06,161323
0.0199862,3.84615e+06,157287
0.0199862,4.35897e+06,152643
0.0199862,4.87179e+06,147528
0.0199862,5.38462e+06,141805
0.0199862,5.89744e+06,135516
0.0199862,6.41026e+06,128639
0.0199862,6.92308e+06,121192
0.0199862,7.4359e+06,113186
0.0199862,7.94872e+06,104523
0.0199862,8.46154e+06,95251
0.0199862,8.97436e+06,85377.3
0.0199862,9.48718e+06,74936.7
0.0199862,1e+07,63903.9
0.0206069,-1e+07,63396.6
0.0206069,-9.48718e+06,74455.9
0.0206069,-8.97436e+06,84922.9
0.0206069,-8.46154e+06,94819.6
0.0206069,-7.94872e+06,104121
0.0206069,-7.4359e+06,112812
0.0206069,-6.92308e+06,120844
0.0206069,-6.41026e+06,128316
0.0206069,-5.89744e+06,135220
0.0206069,-5.38462e+06,141536
0.0206069,-4.87179e+06,147285
0.0206069,-4.35897e+06,152421
0.0206069,-3.84615e+06,157091
0.0206069,-3.33333e+06,161154
0.0206069,-2.82051e+06,164607
0.0206069,-2.30769e+06,167458
0.0206069,-1.79487e+06,169743
0.0206069,-1.28205e+06,171478
0.0206069,-769231,172623
0.0206069,-256410,173178
0.0206069,256410,173192
0.0206069,769231,172661
0.0206069,1.28205e+06,171544
0.0206069,1.79487e+06,169834
0.0206069,2.30769e+06,167574
0.0206069,2.82051e+06,164749
0.0206069,3.33333e+06,161323
0.0206069,3.84615e+06,157288
0.0206069,4.35897e+06,152644
0.0206069,4.87179e+06,147529
0.0206069,5.38462e+06,141806
0.0206069,5.89744e+06,135517
0.0206069,6.41026e+06,128640
0.0206069,6.92308e+06,121193
0.0206069,7.4359e+06,113187
0.0206069,7.94872e+06,104524
0.0206069,8.46154e+06,95251.7
0.0206069,8.97436e+06,85378.1
0.0206069,9.48718e+06,74937.6
0.0206069,1e+07,63904.9
0.0212276,-1e+07,63395.7
0.0212276,-9.48718e+06,74455
0.0212276,-8.97436e+06,84922.1
0.0212276,-8.46154e+06,94818.8
0.0212276,-7.94872e+06,104120
0.0212276,-7.4359e+06,112811
0.0212276,-6.92308e+06,120843
0.0212276,-6.41026e+06,128315
0.0212276,-5.89744e+06,135220
0.0212276,-5.38462e+06,141536
0.0212276,-4.87179e+06,147284
0.0212276,-4.35897e+06,152421
0.0212276,-3.84615e+06,157091
0.0212276,-3.33333e+06,161154
0.0212276,-2.82051e+06,164607
0.0212276,-2.30769e+06,167457
0.0212276,-1.79487e+06,169743
0.0212276,-1.28205e+06,171478
0.0212276,-769231,172623
0.0212276,-256410,173178
0.0212276,256410,173192
0.0212276,769231,172661
0.0212276,1.28205e+06,171544
0.0212276,1.79487e+06,169834
0.0212276,2.30769e+06,167574
0.0212276,2.82051e+06,164749
0.0212276,3.33333e+06,161323
0.0212276,3.84615e+06,157288
0.0212276,4.35897e+06,152644
0.0212276,4.87179e+06,147529
0.0212276,5.38462e+06,141806
0.0212276,5.89744e+06,135517
0.0212276,6.41026e+06,128641
0.0212276,6.92308e+06,121193
0.0212276,7.4359e+06,113187
0.0212276,7.94872e+06,104524
0.0212276,8.46154e+06,95252.6
0.0212276,8.97436e+06,85378.9
0.0212276,9.48718e+06,74938.5
0.0212276,1e+07,63905.8
0.0218483,-1e+07,63394.7
0.0218483,-9.48718e+06,74454.1
0.0218483,-8.97436e+06,84921.2
0.0218483,-8.46154e+06,94818
0.0218483,-7.94872e+06,104119
0.0218483,-7.4359e+06,112810
0.0218483,-6.92308e+06,120843
0.0218483,-6.41026e+06,128315
0.0218483,-5.89744e+06,135219
0.0218483,-5.38462e+06,141535
0.0218483,-4.87179e+06,147284
0.0218483,-4.35897e+06,152420
0.0218483,-3.84615e+06,157090
0.0218483,-3.33333e+06,161154
0.0218483,-2.82051e+06,164606
0.0218483,-2.30769e+06,167457
0.0218483,-1.79487e+06,169743
0.0218483,-1.28205e+06,171478
0.0218483,-769231,172623
0.0218483,-256410,173178
0.0218483,256410,173192
0.0218483,769231,172661
0.0218483,1.28205e+06,171544
0.0218483,1.79487e+06,169834
0.0218483,2.30769e+06,167574
0.0218483,2.82051e+06,164750
0.0218483,3.33333e+06,161324
0.0218483,3.84615e+06,157288
0.0218483,4.35897e+06,152645
0.0218483,4.87179e+06,147530
0.0218483,5.38462e+06,141807
0.0218483,5.89744e+06,135518
0.0218483,6.41026e+06,128641
0.0218483,6.92308e+06,121194
0.0218483,7.4359e+06,113188
0.0218483,7.94872e+06,104525
0.0218483,8.46154e+06,95253.4
0.0218483,8.97436e+06,85379.8
0.0218483,9.48718e+06,74939.4
0.0218483,1e+07,63906.8
0.022469,-1e+07,63393.7
0.022469,-9.48718e+06,74453.1
0.022469,-8.97436e+06,84920.3
0.022469,-8.46154e+06,94817.2
0.022469,-7.94872e+06,104118
0.022469,-7.4359e+06,112809
0.022469,-6.92308e+06,120842
0.022469,-6.41026e+06,128314
0.022469,-5.89744e+06,135219
0.022469,-5.38462e+06,141535
0.022469,-4.87179e+06,147283
0.022469,-4.35897e+06,152420
0.022469,-3.84615e+06,157090
0.022469,-3.33333e+06,161153
0.022469,-2.82051e+06,164606
0.022469,-2.30769e+06,167457
0.022469,-1.79487e+06,169742
0.022469,-1.28205e+06,171478
0.022469,-769231,172623
0.022469,-256410,173178
0.022469,256410,173192
0.022469,769231,172661
0.022469,1.28205e+06,171544
0.022469,1.79487e+06,169834
0.022469,2.30769e+06,167574
0.022469,2.82051e+06,164750
0.022469,3.33333e+06,161324
0.022469,3.84615e+06,157289
0.022469,4.35897e+06,152645
0.022469,4.87179e+06,147530
0.022469,5.38462e+06,141807
0.022469,5.89744e+06,135518
0.022469,6.41026e+06,128642
0.022469,6.92308e+06,121195
0.022469,7.4359e+06,113189
0.022469,7.94872e+06,104526
0.022469,8.46154e+06,95254.2
0.022469,8.97436e+06,85380.7
0.022469,9.48718e+06,74940.4
0.022469,1e+07,63907.8
0.0230897,-1e+07,63392.7
0.0230897,-9.48718e+06,74452.2
0.0230897,-8.97436e+06,84919.4
0.0230897,-8.46154e+06,94816.3
0.0230897,-7.94872e+06,104117
0.0230897,-7.4359e+06,112809
0.0230897,-6.92308e+06,120841
0.0230897,-6.41026e+06,128313
0.0230897,-5.89744e+06,135218
0.0230897,-5.38462e+06,141534
0.0230897,-4.87179e+06,147283
0.0230897,-4.35897e+06,152419
0.0230897,-3.84615e+06,157089
0.0230897,-3.33333e+06,161153
0.0230897,-2.82051e+06,164606
0.0230897,-2.30769e+06,167457
0.0230897,-1.79487e+06,169742
0.0230897,-1.28205e+06,171478
0.0230897,-769231,172623
0.0230897,-256410,173178
0.0230897,256410,173192
0.0230897,769231,172662
0.0230897,1.28205e+06,171544
0.0230897,1.79487e+06,169835
0.0230897,2.30769e+06,167574
0.0230897,2.82051e+06,164750
0.0230897,3.33333e+06,161324
0.0230897,3.84615e+06,157289
0.0230897,4.35897e+06,152645
0.0230897,4.87179e+06,147531
0.0230897,5.38462e+06,141808
0.0230897,5.89744e+06,135519
